Date,Text,Retweets,Likes
2012-11-05 22:07,"President Obama tells the story of ""Fired up! Ready to go!"" at the final rally of his final campaign. http://OFA.BO/KCuzFy  #Forward",1872,724
2012-11-06 03:28,Election Day is here! Confirm your polling place and bring a friend with you to vote. http://OFA.BO/8QHTRN pic.twitter.com/qq2nQHFD,6366,1837
2012-11-06 04:00,It’s Election Day! This is your last chance to help win this thing—RT this link so your friends know where to vote: http://OFA.BO/chM7LH ,8835,698
2012-11-06 04:49,"At the final rally of his final campaign last night President Obama told the story of ""Fired up! Ready to go!""http://OFA.BO/sicHFt ",1393,503
2012-11-06 05:12,25 reasons that 25 people are voting for President Obama: http://OFA.BO/ekGNph ,2686,567
2012-11-06 05:39,Time to vote! Grab a friend to join you and head over to your polling place: http://OFA.BO/V4bf74 pic.twitter.com/bgoYhI3v,4723,1686
2012-11-06 06:02,Check out a few voters’ reasons for supporting President Obama—then grab a friend and go #VoteObama: http://OFA.BO/EvkoBB ,1112,322
2012-11-06 06:05,Amanda AK: “I am supporting President Obama as both a college student and a veteran because he has never given up on fighting for us.”,1372,405
2012-11-06 06:10,“I am a military wife with 6 children and the added Pell Grant benefit has afforded our family to allow me to go back to school.”—Amy FL,1201,364
2012-11-06 06:16,“It's been years since I've felt connected at any level to a president.”—Gabe OH who voted McCain in ’08 but is voting Obama-Biden in 2012,1439,470
2012-11-06 06:20,“I trust President Obama. I do not trust Mitt Romney. And that's really all I need to know.”—Joe a Purple Heart veteran from PA #VoteObama,7366,1664
2012-11-06 06:25,Carol from NH is voting for Obama-Biden because “My taxes have gone down and my take-home pay has gone up.” #VoteObama,1054,260
2012-11-06 06:30,Share why you're voting for President Obama today with the hashtag #VoteObama.,1903,399
2012-11-06 07:01,We're coming to the end of a long campaign—all that's left to do is get out the vote. Let's win this. -bo,15638,3578
2012-11-06 07:45,Just a few votes could make the difference in this election—grab a friend when you vote today. http://OFA.BO/XVAPCx ,3473,648
2012-11-06 08:22,Today always be doing something: http://OFA.BO/X5bf3w pic.twitter.com/bvlhjpPd,2111,700
2012-11-06 08:52,If he can find the time to make calls today so can you! http://OFA.BO/CeVKUS  http://instagram.com/p/Rsf92umuVJ/ ,1290,687
2012-11-06 10:25,Spread the word: You can still make the difference in this election. Help get out the vote now: http://OFA.BO/Rqacmo pic.twitter.com/v167bpJZ,3406,852
2012-11-06 11:11,This election is close and your vote could make the difference. Confirm where to cast your ballot now: http://OFA.BO/MKemGv ,2869,550
2012-11-06 11:38,Jay Z wants you in a voting state of mind today. http://OFA.BO/vETEv4  http://OFA.BO/bbrnQR  #VoteObama,3340,947
2012-11-06 12:26,Ohio: This election could come down to just a few votes and yours could make the difference. http://OFA.BO/F7BYv1 pic.twitter.com/YycNy56q,3197,1471
2012-11-06 12:34,Will Ferrell will do anything to get you and your friends to vote right now: http://OFA.BO/Dfo3sx  #VoteObama,2126,625
2012-11-06 13:12,Already voted? Get on the phone and help turn out voters in key states where a few votes could make the difference: http://OFA.BO/mVN2Ei ,1440,346
2012-11-06 13:35,This guy's counting on you: http://OFA.BO/Q2sehB pic.twitter.com/xtEzAWXk,9662,4557
2012-11-06 14:40,Just a handful of votes could decide this election. Confirm your polling place and go vote now: http://OFA.BO/QWJej5  #ElectionDay2012,1895,407
2012-11-06 15:13,Don't watch this video: http://OFA.BO/rJXn6c  http://OFA.BO/UKGULU ,649,318
2012-11-06 15:26,If you’re in line when the polls close stay in line to vote. It could help make the difference.pic.twitter.com/0QFN2ag1,13773,3380
2012-11-06 15:49,Ohio and North Carolina: Polls close at 7:30pm ET and you can vote as long as you're in line before then. Go vote now and spread the word!,4407,597
2012-11-06 16:13,Pennsylvania: Polls close at 8pm ET and you can vote as long as you're in line before then. Spread the word.,4071,425
2012-11-06 16:14,President Obama recorded an Election Day message for you: http://OFA.BO/KbZP2z  #ElectionDay2012,1663,523
2012-11-06 16:26,Let your friends know you had the President's back today: http://OFA.BO/8fNhSX ,4261,950
2012-11-06 16:31,Help get out the vote: Grab your phone and call voters right now. http://OFA.BO/JA2ybi pic.twitter.com/whWGPi8R,1620,621
2012-11-06 16:35,New Mexico & Colorado RT this: Polls close at 7pm MT and you can vote as long as you're in line by then. #StayInLine,3239,510
2012-11-06 16:46,Wisconsin & Minnesota: Polls close at 8pm CT. Spread the word: You can vote as long as you're in line before then. #StayInLine,3881,569
2012-11-06 17:17,Step 1: Pick up your phone. Step 2: Call voters in key states. Step 3: Help win this election. http://OFA.BO/n4yxCZ pic.twitter.com/e4EEio8y,2879,1290
2012-11-06 17:20,Reminder: If you're waiting to vote in Florida #StayInLine! As long as you were in line when polls closed you can still vote.,8859,1233
2012-11-06 17:45,Iowa spread the word: Your polls close at 9pm CT and you can vote as long as you're in line by then. #StayInLine,5150,718
2012-11-06 18:05,Last chance to help win this election: Pick up your phone and call voters in key states. http://OFA.BO/kwZ2iC  #StayInLine,2263,611
2012-11-06 18:15,Nevada pass it on: Polls close at 7pm PT. You can vote as long as you're in line before then. #StayInLine,3738,740
2012-11-06 19:01,RT if you're on #TeamObama tonight.,262098,67124
2012-11-06 20:14,This happened because of you. Thank you.,238691,99992
2012-11-06 20:15,We're all in this together. That's how we campaigned and that's who we are. Thank you. -bo,132903,46506
2012-11-06 20:16,Four more years.pic.twitter.com/bAJE6Vom,887380,594101
2012-11-07 13:33,Thank you. http://instagr.am/p/RvkYbfmueB/ ,33346,24038
2012-11-07 15:21,"President Obama in his victory speech last night: ""For the United States of America the best is yet to come.""http://OFA.BO/XBCTt8 ",5837,3717
2012-11-08 16:02,The definition of hope is you still believe even when it's hard.pic.twitter.com/BJCKP2aT,10418,5459
2012-11-08 16:39,The President made a surprise visit to campaign HQ yesterday to thank staff & volunteers. Here's what he said.http://OFA.BO/Bu2y3i ,2843,1749
2012-11-09 08:23,What Bobby Kennedy called the ripples of hope that come out when you throw a stone in a lake—that's going to be you. http://OFA.BO/J789Nk ,1714,1020
2012-11-11 11:51,We must commit—this day and every day—to serving you as well as you've served us. —President Obama to veterans today:http://OFA.BO/Jnpybj ,3941,1813
2012-11-13 12:24,I’m committed to solving our fiscal challenges. But I refuse to accept any approach that isn’t balanced. http://OFA.BO/UKwaE9 ,1636,837
2012-11-13 13:36,Some of our favorite photos from election night: http://OFA.BO/ARbqGs ,896,698
2012-11-13 15:34,Watch the President lay out his strategy to stop taxes from going up on 98% of Americans & reduce our nation's deficit:http://OFA.BO/YsHFjg ,974,490
2012-11-14 08:52,What the American people are looking for is cooperation... Most of all they want action.http://OFA.BO/KftotE ,1000,484
2012-11-14 10:32,Watch live: President Obama holds a news conference at the White House. http://OFA.BO/zwqKqK ,505,204
2012-11-14 10:38,This country succeeds on a growing thriving middle class. —President Obama,1021,391
2012-11-14 10:38,Our top priority has to be jobs and growth. We've got to build on the progress we've made. —President Obama,910,322
2012-11-14 10:38,Right now our economy is still recovering from a very deep and damaging crisis. —President Obama,674,284
2012-11-14 10:39,We should at least do what we agree on and that's to keep middle class taxes low. —President Obama,1170,484
2012-11-14 10:39,We should not hold the middle class hostage while we debate tax cuts for the wealthy. —President Obama,1482,501
2012-11-14 10:45,There’s only one way to solve these challenges: together.,3109,978
2012-11-14 10:50,We cannot afford to extend the Bush tax cuts for the wealthy. What we can do is make sure that middle class taxes don’t go up.,1676,641
2012-11-14 11:08,I've got a mandate to help middle-class families and families that are working hard to get into the middle class. —President Obama,2017,767
2012-11-14 12:44,Let's get to work. http://OFA.BO/QEHuo4 ,1746,892
2012-11-15 09:30,I’ve got a mandate to help middle-class families. —President Obama at his news conference yesterday:http://OFA.BO/xRSG9n ,1117,652
2012-11-15 10:57,Supporters around the country have been sharing their favorite campaign memories and what President Obama's re-election means to them.,294,206
2012-11-15 10:58,“I voted for you because you reminded me to be determined enough to see my ambitions through.”—Michael Ohio,616,392
2012-11-15 11:01,“Standing in the rain for 6 hours so my 3-year-old could see the President with his own eyes.”—Alicia Iowapic.twitter.com/LeWu6wyt,649,826
2012-11-15 11:05,“Around 1:30am I woke up looked at the results and had the biggest smile. I yelled ‘Woohoo!’ and was so thankful.”—Lauri WI,308,258
2012-11-15 11:07,“My favorite memory was bringing my son to man the phones with me at the Royal Oak MI campaign office.”pic.twitter.com/9tnqZ95v,317,376
2012-11-15 11:11,“I called a woman in WI with the online tool learned that she had just voted for Barack and we shared a big ‘Hallelujah!’”—Creighton CA,292,220
2012-11-15 11:21,“My favorite moment: Traveling to Florida from California to get out the vote. We did it!” —Catherine CApic.twitter.com/smWykN9g,313,357
2012-11-15 11:22,Share what President Obama’s re-election means to you with a story or photo: http://OFA.BO/EUaWat ,321,254
2012-11-15 14:43,Watch President Obama discuss his plans for the next four years—and his mandate to help the middle class:http://OFA.BO/VZShtw ,830,478
2012-11-16 09:25,Millions of supporters and volunteers powered this campaign—tell your story: http://OFA.BO/eXfoVs ,446,298
2012-11-16 13:22,What folks are looking for—and I think all of us agree on this—is action. http://OFA.BO/tiwsp3 ,753,422
2012-11-17 11:36,"President Obama: ""Let’s begin our work by doing what we all agree on. Let’s keep taxes low for the middle class."" http://OFA.BO/BLEvRg ",2254,1148
2012-11-17 15:44,President Obama on why Congress should act now to extend middle-class tax cuts:http://OFA.BO/tr9Fkb ,833,432
2012-11-18 16:33,That’s the message I heard loud and clear in the election: Work as hard as you can to make our lives better.http://OFA.BO/wa6Fq7 ,1332,622
2012-11-19 09:04,This movement has always belonged to you. Take a few minutes to help shape its future: http://OFA.BO/aXzwLx ,611,357
2012-11-20 06:22,Happy birthday Mr. Vice President.pic.twitter.com/C4SU7gvs,8146,5171
2012-11-20 09:04,Take a few minutes to weigh in on the future of this organization:http://OFA.BO/QCw22f ,408,256
2012-11-21 07:23,Make sure your friends know about the President's plan to keep taxes low for the middle class and reduce the deficit: http://OFA.BO/SktHw1 ,1415,489
2012-11-21 12:18,The President's plan to keep your taxes low and reduce the deficit in a balanced way in 3 steps: http://OFA.BO/FgWrJR ,693,337
2012-11-21 13:07,Once again Nate Silver completely nailed it. —President Obama on the vote to pardon this year's Thanksgiving turkey:http://OFA.BO/jdbipL ,924,444
2012-11-21 17:56,We give thanks—not only for the people we love but for the spirit that sees us through the toughest times. http://OFA.BO/7xvpoF ,2991,1115
2012-11-22 06:42,From this family to yours happy Thanksgiving.pic.twitter.com/OPGyjTF8,8803,11478
2012-11-22 15:44,President Obama wishes you a happy Thanksgiving:http://OFA.BO/45BWGz ,2114,1283
2012-11-24 08:10,President Obama is working with leaders of both parties to reduce the deficit in a balanced way. Get the facts: http://OFA.BO/hTKRvH ,921,471
2012-11-24 11:59,2.2 million volunteers nearly 1.8 million voters registered and more on this campaign by the numbers: http://OFA.BO/DnJ8h4 ,585,398
2012-11-26 09:48,A look at why our economy can't afford tax hikes on the middle class and small businesses: http://OFA.BO/V97Vpn ,652,303
2012-11-26 12:37,Every American family's taxes will automatically go up if Congress fails to act before the end of the year: http://OFA.BO/V97Vpn ,1053,326
2012-11-27 09:36,From the archives: Sasha and her first mate.pic.twitter.com/ySwwx5Zp,1660,2342
2012-11-27 11:10,New in the campaign store: a limited-edition victory magnet. http://OFA.BO/qufduq ,281,209
2012-11-27 13:48,If you’re wondering why Congress needs to take action now to keep middle-class taxes low meet the McLaughlins: http://OFA.BO/rka17t ,582,281
2012-11-28 08:10,President Obama kept his promise to cut taxes for millions of families in his first term. See why the fight isn’t over:http://OFA.BO/rka17t ,481,217
2012-11-28 08:58,Watch live: President Obama speaks on the need to extend tax cuts for the middle class.http://www.wh.gov/live ,321,141
2012-11-28 09:02,"President Obama: Deadlines on taxes and deficits are ""coming up very soon in the coming weeks.""",251,125
2012-11-28 09:03,The voices of the American people have to be a part of this debate. —President Obama,580,228
2012-11-28 09:03,This debate is not just about numbers. It's a set of major decisions that are going to affect millions of families. —President Obama,419,180
2012-11-28 09:05,Our ultimate goal is an agreement that gets our long-term deficit under control in a way that is fair and balanced. —President Obama,451,181
2012-11-28 09:06,A typical middle-class family of four will see its income taxes go up by $2200. —President Obama,583,163
2012-11-28 09:06,If Congress does nothing every family in America will see their taxes automatically go up at the beginning of next year.,751,143
2012-11-28 09:08,Right now Congress can pass a law that would prevent a tax hike on the first $250000 of everybody's income. —President Obama,900,225
2012-11-28 09:09,That means 98% of Americans and 97% of small businesses wouldn't see their taxes go up by a single dime.,690,215
2012-11-28 09:10,When the American people speak loud enough Congress listens. —President Obama,1227,366
2012-11-28 09:11,I'm asking Americans to make your voice heard. Tell members of Congress what a $2000 tax hike would mean to you.,926,238
2012-11-28 09:13,Call your members of Congress. Write them an email. Tweet it using the hashtag #My2K. —President Obama,4444,925
2012-11-28 12:20,Most families could save up to $2200 if Congress extends middle class tax cuts. Use #My2k to share what that would mean for you.,1304,359
2012-11-28 16:00,Congress needs to act now so taxes don’t go up for millions of Americans. What would $2200 help your family do? http://OFA.BO/AYHumP  #My2K,1060,342
2012-11-29 07:41,The typical family could see its income taxes go up $2200 if Congress doesn't act. What does #My2K mean to you? http://OFA.BO/C6nG6u ,840,289
2012-11-29 13:03,More than 1 million supporters took our survey last week. Some initial results: http://OFA.BO/vyGAsc ,246,207
2012-11-29 14:56,Watch the story of one Iowa family that’s better off because of President Obama’s middle-class tax breaks:http://OFA.BO/rka17t ,384,226
2012-11-30 08:50,Last call: Get this limited-edition magnet for 40% off today with the coupon code VICTORY. http://OFA.BO/rQwaWd pic.twitter.com/rpELdOJl,366,448
2012-11-30 09:03,President Obama is speaking at the Rodon Group Manufacturing Facility in Pennsylvania. Watch live:http://www.wh.gov/live ,161,113
2012-11-30 09:04,I believe America only thrives when we have a strong and growing middle class. —President Obama,818,351
2012-11-30 09:06,I want to reward manufacturers like this one & small businesses that create jobs here in the United States not overseas. —President Obama,530,229
2012-11-30 09:08,I believe both parties can and will come together in the coming weeks to get that done.,349,211
2012-11-30 09:08,Our long-term goal is to get our long-term deficit under control in a way that is balanced and fair. —President Obama,381,183
2012-11-30 09:10,At the end of the year middle class tax cuts that are currently in place are set to expire. —President Obama,307,137
2012-11-30 09:10,Where the clock is really ticking right now is on middle class taxes.,326,152
2012-11-30 09:11,A typical middle class family of 4 would see their income taxes go up by $2200. That's money a lot of families just can't afford to lose.,697,218
2012-11-30 09:11,If Congress does nothing every family in America will see their income taxes automatically go up on January 1. —President Obama,695,159
2012-11-30 09:15,"Obama: ""A clear majority of Americans agreed with a balanced approach to deficit reduction and making sure middle class taxes don't go up.""",504,224
2012-11-30 09:15,This was a central question in the election. —President Obama on keeping middle class taxes low,275,141
2012-11-30 09:16,I'm going to be asking all of you to make your voices heard. —President Obama,984,396
2012-11-30 10:59,Lee Alicia and Jane on what a $2000 tax hike would mean for them: http://OFA.BO/pczBQo  #My2K,214,168
2012-11-30 11:58,President Obama is counting on all of us to tell Congress what tax hikes would mean for our families. Weigh in here: http://OFA.BO/oarxrQ ,1006,241
2012-12-01 08:42,We are going to win this fight. But the fight is not over. —President Obama on World AIDS Daypic.twitter.com/M1JmQfjC,2732,1005
2012-12-01 09:57,Let your congressman know what $2000 means to you. —President Obama in his weekly address: http://OFA.BO/4JgFHs ,814,419
2012-12-01 11:55,Check out some #My2K stories then share your own: http://OFA.BO/6msejp ,312,227
2012-12-02 08:20,If Congress doesn't act the typical family's taxes will go up by $2000. Share what that would mean for you: http://OFA.BO/bgWRDj  #My2K,1317,465
2012-12-03 07:38,A flashback to the election: President Obama campaigned—and won—on a clear tax plan.http://OFA.BO/JBxZec ,380,235
2012-12-03 08:07,Congress can act—right now—to stop taxes from going up on middle-class families. Tell them why they should: http://OFA.BO/CA7VP7  #My2K,618,229
2012-12-03 10:50,President Obama will start answering questions about middle class tax cuts in 10 minutes on @WhiteHouse—get your questions in with #My2K!,535,205
2012-12-03 12:19,If you missed the President's Twitter Q&A on middle class tax cuts catch the whole thing here: http://OFA.BO/fRAn3X ,447,281
2012-12-03 12:59,I've asked Debbie Wasserman Schultz to continue her excellent work as chair of the DNC. Thanks for all you do Debbie. -bo,801,439
2012-12-03 17:42,President Obama's asked Congress to do the right thing on taxes—but they also need to hear from you: http://OFA.BO/pcG9Rq ,771,320
